,Input.selftext,Answer.crowd_input
27,"I can't remember the name of this movie.  It's NOT a ocumentary.  It's a fictionilzation of the Plano Texas heroin epiemic from the mi 90s.  The movie is base in the US, everyone in it is American.  The story is tol from the perspective of the teenagers.

I've searche a bunch for the name.  I thought one of the Phoenix kis was in it, but it's not in their Wikipeia filmograph.

I believe it was release between 2000 an 2004.  It was an inepenent film an probably in't spen a lot of time in the theaters.

It stars (I think) two teenage male leas an one teenage female lea.  One ODs an ies about halfway through an another ODs an ies in the en.   I think the girl survives.

When I saw it I thought it was really well one an watche it a few times.  I haven't seen it since like 2005 or so, an I might be incorrect on a few etails.",","
28,"Their behin-the-scenes?

An I on't mean like ""*Now You See Me"" -* was thinking about something more atmospheric, even creepy. Like imagine trying to prove that some ol Fortune Telling Lay is a frau at the beginning of 20th century by exploring her ark an mysterious workplace.",Now You See Me
29,"I’m looking for movies that you on’t nee to be 100% focuse on while watching. I’m still going to be in front of the screen, just not looking at it an mainly listening.

Genre an streaming service on’t matter, but it’ll have to be jn English.

TIA!",","
30,"Hello fine people. You have always steere me well. Drawing a blank on what to watch tonight.

Feel like I haven't seen a goo action film in a while. Any suggestions? Most likely seen the more famous titles.

Any language is fine.

Any genre is fine if you have seen something you want others to know about. 

Thanks",","
31,"Examples of what I've love:

Briesmais

The Big Sick 

Together Together

Someone Great

Ban-Ai

It's oesn't necessarily nee to be a rom-com, just have that rom-com feeling. Bonus points for written or irecte by women.","Briesmais, Together Together, The Big Sick, Together Together Someone Great Ban-Ai, Ban-Ai, Someone Great"
32,I'm looking for movies to watch in my spare time. I'm open to watching pretty much anything but not horror movies or really slow pace movies. All suggestions welcome,","
33,"Looking for a romcom where someone, for example the best frien of one of the love interests, tries to save them from getting into a ba relationship",","
34,"Movies like Saw, Silence of the Lambs, Seven, The game, the empty man, Mothman Prophecies, etc. 

I especially enjoy 90s movies. Early 2000s as well. There's probably a goo chance I'll have seen most of the suggestions people will say but I figure I may as well ask just in case I misse something an might fin a hien gem. 

Please no spoilers. If you o, mark them or say SPOILER","the empty man, The game, Mothman Prophecies, Saw, Silence of the Lambs, Seven"
35,I am trying to think of some movies where there is a narcissist who gets a non-violent comeuppance or something happens to them to slow their roll. I woul prefer it to be somewhat believable in the sense that the narcissist oes not just Chan he because they are tol they are in the wrong. Perhaps the narcissist oes not even change actions in the movie- but people aroun them calle them out. Thank you in avance.,","
36,"Hi I'm looking for the name of movie I watche at a frien's a while back. 

I think it starts off with the live streamer in an uber. 

After he kills the river the movie follows him as he's on the run whilst still killing people. 
I *think* near the en he crashe a car into his a's house? 


Thanks.",","
37,"“I, Robot” is a perfect example where it focuses entirely on the sci-fi aspect than personal relationships or sexualization of female characters.

I’m looking for more movies like this. No women in unerwear, no male characters sexualizing the hell out of female secretaries, no sex scenes, just pure sci-fi/saving the worl stuff. Squeaky clean recommenations please an thank you","I, Robot"
38,"I’m fining out my girlfriens parents ha zero tv’s an no movies growing up.

This poor girl hasn’t seen anything! No Forrest Gump! No Iniana Jones.. nothin

So if you ha a 100% must see movie, either nostalgic or present ay, rop em here, im making a list for her cinema eucation! Thanks y’all","Iniana Jones, Forrest Gump"
39,"SPECIFICALLY looking for those where there are a few people groupe together as the main cast. examples are the Avengers, the xmen, the main team in 6 Unergroun, or the main 3 in Blae: trinity, etc. Bonus points if at least one of them's rich or funny :) [but not neee] they ont nee to really love each other (like in xmen: wolverine where they ont really seem to click) but its great if there is some teamwork/frienship.

comey is ok, but only looking for action or thriller. no horror or slice of life etc tyia !! &lt;3","wolverine, xmen: wolverine, the xmen, the Avengers, xmen, Blae: trinity, 6 Unergroun, Avengers"
40,"This might be a specific request, but I'm currently writing a fanfiction with this trope an I'm looking for some inspiration. I on't watch many romance movies in general so I'm hoping there's at least a few with this kin of general plot.",","
41,"Looking for films revolving aroun motorcycle riing an/or biker culture, like Burn Out an its remake Centauro, Roa To Paloma, an The Loveless. Something about life on the roa, builing an repairing bikes, or using motorcycles to earn a living like racing. Not looking for ocumentaries but I wouln't min some recs on those too.","Roa To Paloma, Burn Out, Road To Paloma, Centauro, The Loveless"
42,Saw a movie clip in my youtube short reel a while back. Showe a man with a scope rifle shoot a ki an a woman starte freaking out. He than shot her too. Can anyone tell me the name of it? I think it was base off a serial killer in real life,","
43,"As the title says, I'm looking for movies similar to The Fallout. It is one of my favorite movie, an I love it because it's not confusing to me, I love the vibe of some of the scenes, like the parking lot scene, I also love the actors, an it's kina chill you know?

Its just about teenagers being teenagers an I love that. Also it's kina about mental health an getting over pts/ epression.",The Fallout
44,"looking for some goo quality lgbtq movies to watch with my friens. we’re all high schoolers, but that being sai rating oesn’t rlly matter bc we’re not like chilren. just maybe not too graphic. ik. 

my frien just came out as bi an me an my other bi frien want to have a gay movie night with her. 

thanks in avance!",","
45,"Kina in the realm of the movie ghost worl, but with characters more likeable? I’m writing something about a naive teen/early 20s so the better the script the better","ghost worl, Ghost World, Kina"
46,"Suggest me some english movies that I can watch with my parents... any genre woul o, it has to be family frienly an movies with goo story. Movies like: Cast Away, The Shawshank Reemption...","Cast Away, The Shawshank Reemption"
47,"Looking for movies like American Pie, Due where's my car?, She's all that, Not another teen movie, Clueless, Euro trip.

Nothing post like 2005 like super ba","Dude, super ba, EuroTrip, Not Another Teen Movie, Not another teen movie, Nothing, Euro trip, She's all that, American Pie, Clueless, Where's My Car?, Due where's my car?"
48,You know as in a type of movie where the protagonist goes for a night out but spontaneously meets or oes something with a person. The point is that someone who is alone then meets a person to hang out with for the night or whatever. A spontaneous encounter of sorts.,","
49,"Love the movies from the 80's &amp; 90's. What are some ""less known"" movies from that era? 

Me I personally like ""Lucas"" (1986)",Lucas
50,"I'm attening ""new york film acaemy""  this year an I woul love to watch some auteur foreign cinema to be prepare, I usually like to write essays about the films I watch, I've seen almost every mainstream an inepenent American cinema an south Korean cinema. nee to brush up on other countries. i love all genres from any ecae. i have access to all the streaming services an internet sites.",","
51,"If you've seen the film, you k kw what I am talking about. The main character of the film is heartbroken after he loses both his love an his best friens. The film contains many flashbacks to a better, more innocent time, when they were still a gang an friens.

Any other films like that?",","
52,"When you search for movies like this Google usually just suggests movies set in “the hoo”. But what I’m really after are stories about boys eciing to accept responsibility an living as a man.  Woul help if there’s a little comey in it but oesn’t have to. 


Thanks in avance!",","
53,"Looking for movies (or relatively short tv shows) where the protagonist is great at a particular thing. Something like Whiplash, The Queens Gambit, Top Gun are the first things I can think of.","Whiplash, The Queens Gambit, Top Gun"
54,"So ive lately waching 80s thriller mystery marathon.
Ive watche I watche e palma blow out, resses to kill, thief, boy ouble.","thief, Dressed to Kill, boy ouble, ive lately, e palma blow out, Body Double, resses to kill, Thief, Blow Out"
55,"I love Runaway Jury an am intereste in watching the show Sequestere, which apparently has a similar premise. Before I can o so, I have to ask if there’s any movies like what I escribe? 

What I mean is movies about juries who get attacke, coerce, pressure, or even manipulate by others (they can be friens, relatives, rivals, criminals, cops, juges, prosecutors, the public, etc.) to reach a verict they themselves isagree with. 

Feel free to leave any suggestions! ","The Untouchables, The Trial of the Chicago 7, Runaway Jury, Sequestere, Suspect"
56,"I love horror movies.  I especially love the 'high brow' horror from the last ecae or so - Get Out, It Follows, Misommar, etc.  

But - there's nothing that hits quite the same as 'popcorn' shlock like I grew up with.  There's something infinitely enjoyable about horror that's goo fun without trying to be anything more than it is.  Growing up watching 80's an 90's vieo store horror, these films just fill me with nostalgia... thinking more 'the tone' of these types of movies rather than the era.  They're often not brainless - the cleverness comes from being self aware an leaning into what it oes best.

Examples of movies I have watche over an over again - The Faculty, Return of the Living Dea 2, Species, House on Haunte Hill, Resient Evil (the first one particularly), 28 Days Later, Feast.

Open to pretty much anything - not a huge fan of boy horror like Hostel or Human Centipee.","28 Days Later, House on Haunte Hill, The Faculty, Resient Evil, Feast. Open to pretty much anything - not a huge fan of boy horror like Hostel or Human Centipee, Get Out, Hostel, It Follows, Return of the Living Dea 2, Species, Resient Evil (the first one particularly), Human Centipee, Misommar, Feast"
57,"been in a ark space lately... angry an in hopes of reemption/revenge/karma looking for films with a villain/anti-hero who has a ifferent outlook on life an easy to relate/root for

some goo examples of what i like/looking for 

bane (love his quotes)

thanos (same as bane lol)

joker (joaquin phoenix version) - best example

guy from taxi river (ont remember characters name lol)","Taxi Driver, erent outlook, /karma looking"
58,"Basic Instinct, Cape Fear, Boy Double, Sleeping With the Enemy, Fatal Attracion, Dea Calm, What Lies Beneath, Wil Things, an American Gigolo","Sleeping With the Enemy, Dea Calm, American Gigolo, What Lies Beneath, Wild Things, Fatal Attraction, an American Gigolo, Basic Instinct, Dead Calm, Wil Things, Boy Double, Cape Fear, Fatal Attracion"
59,"It's (saly) one of the major cornerstones of a persons formative years an yet very little meia is out there (from what I've searche anyway) about this issue.

I'm satisfie with the amount of ocs we have explaining the troubles cause by poverty, religion, certain hospitals, cultural norms, care homes... The list is varie an enless... Except for schools, they have a lot to answer for an yet I can't fin anything resembling coverage of this... Help?",","
60,I recently watche shutter islan - really love it. Then looking for similar movies I watche Gone Girl in't like it. Suggest me a nice psychological thriller/horror. What can I watch next?,"Gone Girl, shutter island, Shutter Island"
61,Just recently watche Emily The Criminal an Queenpins an really enjoye both. Has anyone else watche either? I'm looking for goo comey/crime movies that are fairly new or a few years ol. Sometimes similar to either one.,"Emily The Criminal, Queenpins"
62,I've been thinking but couln't think of anything really similar except kin of the opposite happening in iniana jones an the temple of oom an b movies like she 1985. Just always fin these scenes bizarre an curious if there are any others.,"she 1985, iniana jones, iniana jones an the temple of oom, Indiana Jones and the Temple of Doom, she"
63,"I recently watche blae runner 2049 an really enjoye the whole melancholy vibe couple with the great cinematic scenes, anything similar to this?","blae runner 2049, Blade Runner 2049"
64,"My girlfrien is taking her LSAT test tomorrow morning an has been very stresse this week. All she aske for tonight is for us to get fast foo an watch a funny movie. We have Netflix, Hulu, HBO Max an Apple TV. 

Thank You!",","
65,"Wonering if there are any other goo movies where the girl crushes on instructor / mentor an they en up both liking eachother. Not like an ol teacher with a younger girl  More like tris an four, or rose an imitri, where the guy who is a couple years oler or an instructor / mentor / trainer ens up crushing on them too. thanks !!",","
66,"So pretty much the title. I'm looking for movies which have a similar style of artstyle/cinematography as The Revenant an The Pale Blue Eye. Something I really like about them is that there's a clear sharp style, with the occasional beautiful shots of nature or scenery.

Not specifially looking for movies set in the same time perio, but that of course woul be a bonus.","The Revenant, The Pale Blue Eye"
67,I’m watching the Zoiac an am remine of how much I love this movie. I mean…Davi Fincher is an absolute genius. But I woul love to fin more serial killer movies or shows.,"the Zoiac, Zoiac, Zodiac"
68,Movies where the protagonist is a saist for no reason other than pure heonism an preferably ultraviolent. As if a clockwork orange ha the rhythm of the first half hour the whole movie.,"clockwork orange, A Clockwork Orange"
69,It's been a long time since i saw something like the above two movies or like A Fish Calle Wana. I crave ry humour.,"A Fish Called Wanda, A Fish Calle Wana"
70,"Hi can you suggest something ark, fantasy worl , monster emons anything international movie or tv show too im sick an im free whole ay so littile help woul be appreciate an some mention that i alreay watche an love it lor of the rings trilogy shaows an bone chilling aventure of sabrina 2 season the witcher the umbrella acaemy the boys etc please suggest some international cinema fantasy emons shows too thanku","Umbrella Academy, Sabrina 2, Shadow and Bone, The Umbrella Academy, Chilling Adventures of Sabrina (Season 2), Lord of the Rings Trilogy, The Boys, The Witcher"
71,"I'm looking for great coming of age teen movies from 80s an 90s like Ferris Bueller, Risky Business, Breakfast Club, Sixteen Canles, Pretty in Pink...","Sixteen Candles, Risky Business, Ferris Bueller, Sixteen Canles, Pretty in Pink, Breakfast Club"
72,"I’m looking for movies with a very ark tone, an interesting storyline, an an amazing cast. Something similar to “Flatliners” or “Jacob’s Laer”","Jacob's Laer, Jacob’s Laer, Jacob’s Ladder, Flatliners"
73,"The Meg was fun to watch. Din't have to turn my brain on, ha action an easy going comey an one liners, action, monsters or some such. Acting was ba but almost so ba it was goo. I'll never claim that it's a goo movie but we have fun.

It was like watching Starship Troopers for the first time. Like the ultimate ""B"" movie. 

Don't juge me, sometimes my gf an I just like to watch fun but umb things, what can you o?","Starship Troopers, The Meg"
74,"Hi everyone.  


I just finishe watching Pulp Fiction after seeing Scarface a while back. I thought classic gangster/crime movies like these isn't my cup of tea, but I foun myself enjoying them.

Can anyone recommen me something similar? 

I on't really trust google, so I woul appreciate your suggestion a ton. Thanks!","Pulp Fiction, Scarface"
75,"So, I am really into movies. I like ifferent genres, formats an ieas, but my parents an an my sister.. no. We like to watch films together but it's har to us to fin something we all can enjoy, so I' like some suggestions.

They like romance an comey. Action or musical, epens very much. They on't like fantasy or sci-fi, an prefer ''real stuff'' not necessarily base in facts.  A close en an family-frienly content are also necessary to them to enjoy. I'm gonna put some movies they enjoye so you can unerstan them:

* Intouchables (the french one)
* See how they run (2021)
* Karate Ki
* The Devil Wears Praa
* Ghost
* Kinergarten Cop
* Stop! or my mom will shoot
* Notting Hill
* Miss Congeniality
* Spee (1994)
* Sister Act
* Mamma Mia!
* Crazy Rich Asians
* Leap Year
* Ocean's Eight
* Top Gun
* The Proposal","The Proposal, Stop! or my mom will shoot, together, Notting Hill, Crazy Rich Asians, Ghost, Kinergarten Cop, See how they run, Ocean's Eight, The Devil Wears Praa, Karate Ki, Spee, Miss Congeniality,  Intouchables (the french one)  See how they run (2021)  Karate Ki  The Devil Wears Praa  Ghost  Kinergarten Cop  Stop! or my mom will shoot  Notting Hill  Miss Congeniality  Spee (1994)  Sister Act  Mamma Mia!  Crazy Rich Asians  Leap Year  Ocean's Eight  Top Gun  The Proposal, Intouchables, Mamma Mia!, Top Gun, Sister Act, Leap Year"
76,"
I like action movies where the villain spens the whole film talking trash an acting tough an being a ick, only to en with his emise within secons of facing the protagonist, revealing he was just a piece of shit.
Maybe the hero is overpowere,  or he actually traine har or is just better at what he oes than the villain, oesn’t matter, usually the fun part is just getting to the main villain.

I get a sense of satisfaction with these type of films. I’ve seen so many long boring fights where hope seems lost just for the hero to come through at the en, that it just oesn’t o it for me anymore, since it is kin of obvious the hero will win.

Examples woul be Robocop (original), Dre, The Witch: Subversion, John Wick, an  series like One Punch Man.
I’m sure I’ve seen other but can’t remember, so, if you can recommen movies (or series) like this, please o., an thanks.","Robocop, John Wick, One Punch Man, The Witch: Subversion, Robocop (original), Dre, an series like One Punch Man"
77,"im super fe up with just about everything horror an isgusting...

im a sick fuck i get it but it seems like we are going to the waysie.

im trying to watch newer movies, last night i watche --

banshees of insherin

smile

one of these movies was great, one was erivative trash.

Im willing to kill myself give me a movie","banshees of insherin, Banshees of Inisherin, smile, Smile"
78,"I absolutely love the first half of the movie. It was about a teenage girl exploring her beach an hometown with minimal plot an characters. Unfortunately the secon half of the movie wasn't as goo. It ha a love interest an criminals going on the run. But the first half was great.

Does anyone know of any films that were like the first half?",","
79,"Looking for movies of any kin that have goo writing, goo characters, goo filmography, etc. Basically movies that you woul consier a 9/10 or 10/10. 

Some movies I’ve seen recently that fall uner this category imo are Pulp Fiction, Reservoir Dogs, Eyes Wie Shut, Psycho, an 12 angry men. I’ve seen taxi river but in’t like it that much although I can appreciate its influence. I also recently saw Fight Club an in’t like it that much either, although it’s still a goo movie. Hopefully that gives you a sense of my taste, thanks in avance.","Psycho, Reservoir Dogs, taxi river, angry men, Fight Club, Pulp Fiction, Eyes Wie Shut, goo, 12 angry men"
80,It was sch a fun time realizing what kin of movie it actually was so I'm wonering if you guys know any more that preten to be something at first buut a huge twist happens an changes tones an genres altogether,","
81,"Hi! I'm looking aroun for movies to watch with my mom (We're 30 an 50 in case that helps with suggestions. A millennial an a Gen X). Struggling to fin something to suit us both... We're mostly trying to fin horror, thrillers or sci fi movies, although we also both like classic aventure film an isaster movies. Genre mixing is no problem, an can even be preferre. We have a preference for inie movies but it oesn't have to be an inie prouction.

Previous movies in these genres we've both enjoye:   


The Innocents (1961)  
The Changeling  
Host (2020)  
Uner the Shaow  
The Vigil  
The Djinn  
Pulse (2001)  
The Blair Witch Project  
Paranormal Activity  
The Woman in Black  
The Tenant  
Rosemary's Baby

The Enless  
Resolution  
Invasion of the Boysnatchers  
2001  
Moon   
Coherence  
Annihilation  
Sputnik  
Sunshine  
Alien   
Black Box  


Things to be avoie:   
gore (one or two scenes where it's clearly avertise before so you can close your eyes is fine), too much alternative worlbuiling (like sci fi set in a mae up society), lots of animals being harme, scenes of sexual assault or similar sexualise violence  


Things that we both appreciate in these genres:   
slowburn storytelling, likeable main characters, some sort of munane setting, ghosts, ambiguous or hopeful enings (where at least one person survives), interesting ""what if?"" concepts being explore, weir time/space phenomena, people trying to make contact with ghosts or aliens through technology, when whatever is the focus of the film isn't fully explaine but remains mysterious","The Vigil, The Enless Resolution, Under the Shadow, Coherence, The Djinn, The Tenant, Black Box, Sunshine, Paranormal Activity, The Innocents (1961), Invasion of the Boysnatchers 2001, Invasion of the Body Snatchers, Moon, The Changeling Host (2020), Sputnik, Resolution, The Woman in Black, Host (2020), Pulse (2001), Annihilation, he Innocents (1961) The Changeling Host (2020) Uner the Shaow The Vigil The Djinn Pulse (2001) The Blair Witch Project Paranormal Activity The Woman in Black The Tenant Rosemary's Baby The Enless Resolution Invasion of the Boysnatchers 2001 Moon Coherence Annihilation Sputnik Sunshine Alien Black Box, Alien, Rosemary's Baby, The Blair Witch Project, Uner the Shaow, The Endless, 2001: A Space Odyssey, The Changeling"
82,"I’m in my early twenties an really enjoy the vibe of these coming-of-age style movies; Fining Forrester an Goo Will Hunting probably nail this feel better than anything I’ve seen. 

I can’t point to one aspect of these two that appeals to me the most, but a few things are: the trouble, talente ki who forms a bon with a mentor (they en up helping each other more than they expecte), the feel goo enings that are left somewhat open-ene but are optimistic, that late 90s/early 00s warm, homey feel (the way they’re shot or the type of camera? Don’t know how to escribe this one), the poignance, etc. I’ really appreciate any suggestions.","Good Will Hunting, Fining Forrester, Goo Will Hunting"
83,"Looking for movie suggestions similar to these. The more ranom the better. Thanks in avance. 

Bingo [1991]

Camp Nowhere 

Cop &amp; A Half

Don't Tell Mom The Babysitter's Dea

Dunston Checks In 

Heavyweights

Jungle 2 Jungle 

Mighty Ducks 1-3

Problem Chil 1 &amp; 2","Problem Chil 1 & 2, Bingo, Mighty Ducks 1-3, Jungle 2 Jungle, Don't Tell Mom The Babysitter's Dea, Cop & A Half, Heavyweights, Dunston Checks In, Camp Nowhere, Problem Chil, Bingo [1991] Camp Nowhere Cop & A Half Don't Tell Mom The Babysitter's Dea Dunston Checks In Heavyweights Jungle 2 Jungle Mighty Ducks 1-3 Problem Chil 1 & 2, Mighty Ducks"
84,"I've been watching Stuio Ghibli movies but have been wanting to watch some non-animate Japanese movies.

Black an white or in color is fine.

I' like there to be English subtitles available.

I know about the Japanese! Movies in the frequently requeste list, so you on't have to post them.",","
85,"I look for films set in Africa that are political, social an base on real events. I like some like The Last King of Scotlan, Hotel Rwana, Bloo Diamon.","The Last King of Scotlan, Bloo Diamon, Hotel Rwana"
86,"I’m trying to ientify a goo book about the history of cinema, key irectors, styles, cinematic movements etc. All suggestions are welcome.",","
