,Input.selftext,Answer.crowd_input
102,avatar came out when and what did it gross,avatar
103,did angelina jolie play a russian in salt,","
104,did they make a movie version of absolutely fabulous,","
105,show me a comedy movie with eddie murphy,","
106,what is brave about,brave
107,has ashton kutcher made any movies with zombies,","
108,what movie stars christopher walken an sean penn,","
109,show me movies starring michael j fox from 1993,","
110,who starred in marley and me,","
111,what movie has the song down with the sickness,","
112,did simon pegg write any movies,","
113,are there any pg movies with car chases,","
114,what movie won the most awards in 2005,","
115,what is puss in boots about,puss in boots
116,how many movies have been released in the last ten years that involved terrorism,","
117,who directed runaway jury,","
118,show me a good spy movie based in england,","
119,what popular films released last month,","
120,did dean parisot direct sigourney weaver and tim allen in a comedy,","
121,who directed the help,","
122,what is the title of woody allens first movie,","
123,what are some police dramas from the 90s,","
124,how many films did clive owen play in,","
125,are there any films that harmony korine regrets directing andor releasing to the public,","
126,show me an alfred hitchcock movie about trains,","
127,who stars in rumble in the bronx,","
128,what was the first movie patrick stewart played in,","
129,what is the film john carter about,john carter
130,what is the longest running time for a movie in film history,","
131,what was the release year for notes on a scandal,","
132,did milos forman direct a film with edward norton,","
133,how many movies did christopher walkin star in,","
134,i want to find a list of pg rated comedies of this year,","
135,what are some movies from the 80s starring bruce willis,","
136,waht was the plot of the deep blue sea,","
137,did guillermo del toro direct any moves rated pg,","
138,who played james in james and the giant peach,","
139,what movies from 2006 star val kilmer,","
140,what kind of movie is wanderlust,","
141,did whitney houston sing in the preachers wife,","
142,what techno thriller gets a low rating,","
143,any good horror films that came out in 2008,","
144,where can i watch a preview of moneyball,","
145,what is the most recent sean connery film,","
146,are there any scary pg rated movies,","
147,what is a recent george clooney movie with high viewers rating,","
148,which animated childrens movies are considered timeless,","
149,find me the movie with the song my heart will go on,","
150,what are some batman movies from the 1990s,batman movies
151,what horror movies have marilyn manson on the soundtrack,","
152,show me terry gilliam movies starring jeff bridges,","
153,was there a trailer for bowling for columbine,","
154,when did interview with a vampire come out,interview with a vampire
155,who starred in who framed roger rabbit,","
156,who directed 310 to yuma,","
157,what movies have batman and robin,","
158,is there a horror movie starring jennifer lopez,","
159,did the mpaa give doubt a pg 13 rating,doubt
160,did vin diesel star in any comdedies,","
161,did ray liota direct any films,","
162,did gwyneth paltrow play a mathematician in a movie with anthony hopkins,","
163,is there a movie based on a shakespeare play,","
164,find me a movie with the song lets hear it for the boys,","
165,what was the fog rated,the fog
166,what was johnny depps first movie,","
167,what was goodfellas rated,goodfellas
168,what was the name of the donkey in shrek,","
169,did joe pesci direct any films,","
170,what are some horror movies from the 1970s,","
171,show me a deborah harry movie,","
172,kung fu panda 2,","
173,what year was the movie the seven year itch made,the seven year itch
174,is there a comedy crime drama,","
175,what movie stared john travolta and debra winger,","
176,directors of all the batman movies,batman
177,what are the best werewolf movies,","
178,who voices shrek in shrek,","
179,was ray liota in any comedies,","
180,what movie stars reese witherspoon in 2004,","
181,what movie did ursula andress first appear in,","
182,are there any movies set in the middle east starring george clooney,","
183,what was a love story about a woman who had alzheimers,","
184,whats a john huston flick from the 1970s,","
185,who played as princess fiona in shrek,","
186,is the last airbender rated g,the last airbender
187,show me some grat action movies from the 90s,","
188,show me dramas about the british royal family,","
189,what was the first movie ever released,","
190,are there any movies with catherine ohara that were set during christmas time,","
191,show me a james bond movie starring sean connery,","
192,what was the title of the bio pic about robert e howard,","
193,what is the theme song to stand by me,","
194,when did runaway jury come out,runaway jury
195,who directed the japanese film versus,","
196,show me a film that ben stiller directed,","
197,name a kirk douglas science fiction film,","
198,are there any five star kevin bacon movies,","
199,who stars in the girl with the dragon tattoo,","
200,who was the male lead in gone with the wind,","
201,who played jake sully in avatar,","
202,who directed pirates of the caribbean,","
203,what are some fun highly rated action movieds,","
204,did people like or hate the last twilight movie,twilight
205,what are the best johnny depp movies,","
206,show me movies directed by alexander payne from the 2000s,","
207,what are some good horror movies from 1974,","
208,find me a movie with the song over the rainbow in it,","
209,i want a 1960s zombie flick,","
210,how many lord of the rings films are there,lord of the rings
211,show me the latest trailer for the avengers,","
212,who directed beaty and the beast,","
213,show me a comedy with nick swardson,","
214,how many movies are in the sex and the city series,sex and the city
215,did martin scorsese and johnny depp ever work together,","
216,who directed the film the lorax,","
217,has samuel jackson been in any thriller flicks,","
218,todd,","
219,what was the film about brandon teena,","
220,who starred in drive,","
221,what is kingdom of heaven rated,kingdom of heaven
222,super man,","
223,what is a monty python film about king arthur,","
224,who was the actor in the movie teen wolf,","
225,show me classic comedies starring bill murray,","
226,when did underworld come out,underworld
227,find a film with animated skeletons,","
228,what animated voices has eddie murphy done,","
229,please list rated r noir films,","
230,show me the trailer for rage,","
231,are there any films with volcanos,","
232,what is act of valor rated,act of valor
233,who directed terminator 2 judgement day,","
234,what horror movies have snakes,","
235,what was the name of clive owens character in sin city,","
236,how many charlies angels movies are there,charlies angels
237,i am looking for a pg rated disney movie,","
238,how many star wars films are there,star wars
239,who is directing the hobbit,","
240,what did critics think of j edgar,","
241,who starred in the movie jurassic park,","
242,how many movies has clint eastwood directed since 1995,","
243,what is the name of the highest grossing movie of 2011,","
244,when did the game come out,the game
245,has john candy made any must see movies,","
246,are there any horror films with don rickles,","
247,find me the movie with the song married life,","
248,show me an oscar winning science fiction movie,","
249,give me a list of legal dramas from the 70s,","
250,rainbow 6,","
251,show me a wes craven movie,","
252,show me action movies that deal with stealing cars,","
253,when did the first hobbit movie come out,","
254,what were the reviews like for the man who shot liberty valance,","
255,show me any action movies that are in theatres right now,","
256,i want an fantasy action adventure film,","
257,what films did pearce brosnan star in,","
258,what is a good romance movie with jennifer aniston,","
259,what is the plot of the wild bunch,","
260,who starred in good burger,","
261,which harry potter movies have robert pattinson,harry potter
262,when did goodfellas come out,goodfellas
263,show me the highest viwer rated movies from 1993,","
264,is princess bride a good film for children,princess bride
265,does the film speed racer use the original song from the tv show,speed racer
266,what was the third sequel in the star wars film series,star wars
267,what is twilight rated,twilight
268,what is the best viewer rated vampire film,","
269,find me the number of samurai films made in the 1960s,","
270,what movie have action and suspense,","
271,did clint eastwood make any cowboy movies in the 1970s,","
272,how many academy awards has daniel day lewis won,","
273,which movie take place in london,","
274,show me the half baked cover,half baked
275,who was the lead character in billy madison,","
276,show me listing that have micheal in them,","
277,whats the movie with the line home is where you hang your hat,","
278,name the director of 2001 a space odyssey,","
279,find me a movie by james cameron,","
280,show the 1953 western starring alan ladd,","
281,who played dwight mccarthy in sin city,","
282,what year did the original black and white casablanca come out,casablanca
283,i am looking for a movie starring elvis with scenes at a beach,","
284,what movie has seals kiss from a rose in it,","
285,i am looking for jennifer love hewitt movies from the 1990s,","
286,was there a romantic film noir,","
287,which romantic comedies are rated pg,","
288,list a quote from jaws,","
289,find all romantic period pieces starring hugh grant,","
290,what star wars movie had darth maul,","
291,find a trailer for space 2010,","
292,what was the name of ariels seagull in the little mermaid,","
293,what year did blazing saddles release,blazing saddles
294,first fairy tale disney movie,","
295,what was the movie of the year in 1994,","
296,is there any iron man 3,","
297,what was the third harry potter movie called,third harry potter movie
298,name the director if the fifth harry potter movie,","
299,was bill paxton in twister,","
300,did the director of pet shop make any other movies,pet shop
301,what city was the famous car chase from the french connection in,french connection
302,what movie was directed by steven spielberg with the alien,","
303,show me gene hackmans first film,","
304,the must see movie in chinese,","
305,what movies got a great review by roger ebert in 2011,","
306,show a spy movie from the 1930s,","
307,look for the movie mean girls,","
308,name a movie with carmen miranda and the marx brothers,","
309,cheech and chong movies,","
310,what was twister rated,twister
311,what is the newest version of cat people,","
312,show me harry potter,","
313,can you find me a romantic comedy with natalie portman,","
314,did gregg kinnear star in any movies directed my michael mann,","
315,name the theme song for 2001 a space odyssey,","
316,what movies had the biggest explosions,","
317,what are the police academy films,police academy
318,who sang my heart will go on from titanic,","
319,was the rock in drive,","
320,show me a list of comedies from the 1970s,","
321,name a movie with joseph cotton and orson welles,","
322,get a nostradamous movie,","
323,name the theme song of war horse,","
324,was there a time travelling high school student film,","
325,what is a horror film released in 1981,","
326,what did michael bay direct besides transformers,","
327,look for pirates of the caribbean series,pirates of the caribbean
328,how many saw films are there,saw
329,what was elvis presleys last film,","
330,name a flick from the 1980s with the word laser in the title,laser
331,find movies directed by judd apatow,","
332,what romance films star rachel mcadams,","
333,find romantic comedies starring jennifer lopez,","
334,what were the reviews for temple grandin,","
335,was a character called the torch in a flick,","
336,look for dramas that have denzel washington and are academy award winners or nominees,","
337,show me movies directed by herbert ross with dancing as part of its story line,","
338,where can i find a full length trailer for dark shadows,","
339,whats a 1940s bernard herman soundtrack film,","
340,show me which movie won the academy award for best picture in 2009,","
341,who directed blazing saddles,","
342,in what spiderman film did peter parker turns evil,spiderman
343,best crome movie from almodovar,","
344,find any elvis presleyovies,","
345,who wrote the them song for the harry potter movies,","
346,what film genre is the nightmare before christmas,","
347,whats the name of the movie where the world ends,","
348,name the lindsay lohan movie that features a living race car,","
349,play a trailer for erin brockovich,","
350,name the director of the boy in the striped pajamas,","
351,whats an old terry gilliam film,","
352,how many oscars was bridesmaids nominated for,bridesmaids
353,how many pirates of the caribbean movies is johnny depp in,pirates of the caribbean
354,who played napoleon dynamite in the movie of the same name,","
355,was sean astin in the goonies,","
356,what is the movie made by james cameron in 2008,","
357,i would like to watch a romance about soccer,","
358,what is the rating of the hunger games,","
359,how much did the rock make in drive,","
360,the 100 wrost movies ever,","
361,was oprah in any movies,","
362,what year did terminator 2 come out,terminator 2
363,show me the harry potter series,","
364,what film features the theme song there youll be,","
365,play a song from blow soundtrack,","
366,who played as morpheus in the matrix,","
367,show me movies directed by barbra streisand,","
368,find harrison ford movies,","
369,did josh radnor direct any movies,","
370,show me a movie with bicycles and children from the 1980s,","
371,show me a list of adam sandler movies,","
372,what was tom hanks first movie,","
373,find comedy movies with kevin kline from the 1980s,","
374,list any movies directed by steven spielberg,","
375,look for the movies similar to gossip girl,","
376,list uma thurman movies,","
377,show 1939 films directed by william wyler,","
378,show me a list of independent comedy films made in 2009,independent comedy
379,list all science fiction movies playing the next 12 hours,","
380,is there a burt lancaster circus movie,","
381,run twilight,","
382,did denzel washington act in any romantic comedy movies,","
383,did michael jordan made a cartoon film,","
384,who was the cast of terminator,","
385,show me a trailer for an alec guiness flick,","
386,can you find me a list of romantic comedies from 2008,","
387,how many comedy films did arnold schwarzenegger appear in,","
388,who played leo marvin in what about bob,","
389,what was the first disney movie,","
390,best action thriller to watch with date,","
391,what was thirteen candles rated,thirteen candles
392,what is the movie that has the song zip a dee doo dah,","
393,who stared in the movie the bank job,","
394,name the film that features the song sway by bic runga,","
395,who directed star wars,","
396,find movies called best action movie of the year,","
397,what family movie got the best rating from kids,","
398,list all versions of south pacific,","
399,show me the trailer for the ryan gosling movie,","
400,which movies about the mob are rated r,","
401,who acted in the title role of michael collins,","
402,in which movies did leonardo dicaprio play a cop or federal agent,","
403,what is a good r rated mystery,","
404,did jessica alba make any new movies,","
405,did diablo cody direct any movies this year,","
406,ill never let go is a famous quote from what 1990s movie,","
407,show me a quentin tarantino film with uma thurman,","
408,find me a horror movie that fans really loved,","
409,show me the title of the film thought to be a real snuff film,","
410,whats a film based on a best selling contemporary novel,","
411,what role won sean connery an academy award,","
412,find 1980s comedy films with an r rating,","
413,what film genre is young frankenstein,","
414,what movie did alen menken score,","
415,find an animated movie about the beatles,","
416,show me a shrek clip,shrek
417,what is the worst viewer rated vampire film,","
418,what movies did judy garland star in,","
419,what is the name of john travoltas character in the film pulp fiction,","
420,find a romance movie with tom cruise,","
421,what is a rated r film that features katherine heigl,","
422,what character did michael j fox voice in homeward bound,","
423,whats a monty python flick about philosophy,","
424,show me a list of movies starring shirley temple,","
425,who said asta la vista baby,","
426,i want a jamie lee curtis horror film,","
427,what are some funny betty white movies,","
428,show me a film where a dog has a relationship with a cat,","
429,find movies with the stones songs performed in it,","
430,what film genre is blazing saddles,","
431,show me a list of family movies with holiday themes,","
432,true stories about hispanic musicians,","
433,list all movies staring brad pitt,","
434,what movies has ellen page been in,","
435,show me action movies with vin diesel,","
436,run repo man,","
437,can you show me the movies cher was in,","
438,what was the name of harrison fords character in star wars,","
439,i want a r rated film that was later changed to pg,","
440,who played andy duphrane in shawshank redemption,","
441,what was james deans last film,","
442,find an action flick with martin lawrence,","
443,were any movies adapted from stage in the 2000s,","
444,who directed drive,","
445,show movies from the 1960s directed by stanley kubrick,","
446,who directed blow,","
447,show me action movies starring sylvester stallone,","
448,what movies has mariah carey been in,","
449,what horror movies came out in the 80s,","
450,i want to see a action comedy,","
451,disney cartoon with classical music and animals,","
452,are there any horror movies with a g rating,","
453,whats the highest rated drama of 1990,","
454,what movies have been made in the 21st century pertaining to animal rescue,","
455,whats the movie with the trailer that has a teenage girl flashing a crowd,","
456,what is the mpaa rating for star wars episode 5,","
457,show me all of the films directed by clint eastwood,","
458,who directed the pirates of the carribean movie,pirates of the carribean
459,name a movie where beer is important to the plot,","
460,who directed avatar,","
461,what was the best rated comedy of 2000,","
462,search some movies with violence,","
463,who was the cast of airplane,","
464,find me a comedy movie from the past decade that is considered must see,","
465,find me the review of black swan,","
466,give me a list of star wars movies,star wars
467,is the trailer for the dark knight rises out on the internet,the dark knight rises
468,show the blow soundtrack,show the blow
469,which films feature both ashton kutcher and brittany murphy,","
470,what funny movie has danny devito in it,","
471,can you find the soundtrack of the austin powers movies from the 1990s,austin powers
472,who directed dracula dead and loving it,","
473,which movie stars emma watson playing another role aside from hermione granger,","
474,show me movies with oscar winning actors,","
475,who played batman in the first batman movie,batman
476,in what movies has kate winslet starred,","
477,what film did richard gere and julia roberts star together,","
478,what year did the first terminator come out,terminator
479,list all films based on the wizard of oz books,wizard of oz
480,was pierce brosnan in sex in the city,","
481,what star trek movie had the best action scenes,star trek
482,show me a non peter sellers film where the lead actor plays just one role,","
483,list rebecca de mornay movies,","
484,which pg 13 movies has tom cruise starred in,","
485,what was the title song for kissing cousins,","
486,i want to watch a science fiction movie with a score from john williams,","
487,is there a john wayne mongol movie,","
488,find a pg 13 rated action movie starring harrison ford,","
489,what movies did quentin tarantino direct,","
490,find me all the movies with jason bourne,","
491,who directed space balls,","
492,find me the movie with the song i wanna be sedated,","
493,who starred in avatar,","
494,how many sequels dim the movie critters have,critters
495,show me rambo movies from the 1980s,rambo
496,what is the best movie about sharks,","
497,whats an old harvey coreman film,","
498,what is dorothys last name in the wizard of oz,","
499,did hans zimmer write the music for pirates of the carribean,","
500,play a trailer for teen wolf,","
501,what year was disneys pocohontas released,pocohontas
502,are there any batman movies rated pg,batman
503,who directed superbad,","
504,what pg 13 movies feature goldie hawn,","
505,are there any movies from 1996 that involve aliens,","
506,i want to find the movie starring meryl streep and anne hathaway,","
507,in what year did the film vegas vacation come out,vegas vacation
508,what movie had the earth explode in the trailer,","
509,list a quote from the pirates of the carribean,","
510,did leonardo dicaprio star in any movies based on a play by shakespeare,","
511,what year did star wars a new hope come out,star wars a new hope
512,what is the mpaa rating on 2001 a space odyssey,","
513,what is the most recent peter weller film,","
514,where can i see the trailer for the new 2012 avengers movie,avengers
515,find the newest harry potter movie,","
516,what is drive rated,drive
517,what character did morgan freeman play in shawshank redemption,","
518,which professional football player stared in shaft,","
519,what was the last terminator film to be released,terminator
520,what are some funny arnold schwarzenegger comedies,","
521,i want a g rated film that was later changed to pg,","
522,whats a mainstream movie about pornos,","
523,what films use the song bird is the word,","
524,run a trailer for an audry murphy show,","
525,find a horror movie with creepy little girls,","
526,run a trailer for excalibur,","
527,show me a british film about wwii in the germany,","
528,i am looking for the blockbuster movies of 2001,","
529,what superhero film stars hugh jackman in the lead role,","
530,were any movies about talking dolphins,","
531,find a chuck norris movie with a lot of martial arts fighting in it,","
532,what is a fun action movie,","
533,how many movies did bela lugosi appear in,","
534,was there a supernatural film noir,","
535,show me the second star wars film,star wars
536,what was the release year of the last star wars movie,star wars
537,who directed saw 1,","
538,are there any sean connery movies on tonight,","
539,dracula the 1960s version,dracula
540,who directed fight club,","
541,find the movie with the yellow brick road,","
542,find a review for the last harry potter movie,","
543,find an elvis presley beach movie,","
544,find the oldest movie directed by stephen king,","
545,all scary movies from 2010,","
546,show movies about food,","
547,what was the name of ariels prince in the little mermaid,","
548,what year did goodfellas release,goodfellas
549,what movie had jim carrey as a dr seuss character,","
550,are there any movies from the 2000s rated g that involve fish,","
551,show me a movie with arnold schwarzenegger that is directed by james cameron,","
552,are there any mpaa rated tv ma films for elvis presley,","
553,what is the most recent movie directed by steven speilberg,","
554,which film won the raspberry award for halle berry,","
555,show me a wwii movie directed by steven spielberg and starring liam neeson,","
556,was there a documentary about a russian electronics professor,","
557,who starred in sex in the city,","
558,what chucky movie didnt have andy in it,","
559,whats a john huston flick from the 1950s,","
560,who was the main character in the last terminator movie,terminator
561,what is the plot of upstaurs downstairs,","
562,get a yul brenner action flick,","
563,i want a preview for a horror comedy,","
564,what is the movie step up rated,step up
565,what role did carrie ann moss play in the matrix,","
566,which movies does charlie sheen star in,","
567,please list all childrens movies with mary kate and ashley,","
568,show me a comedy about a football team,","
569,is there an animated adult horror movie,","
570,cartoon with the voice of justin timberlake from the 2000s,","
571,find the movie with the song its hard out there for a pimp,","
572,whats a rated r movie with jessica alba,","
573,are there any good heist movies with a pg 13 rating,","
574,what was the name of the movie with brad pitt about robbing a casino,","
575,which tom hanks film features him as a stranded fed ex employee,","
576,tell the plot of amistad,","
577,who directed twister,","
578,what is the viewers rating of the favorite star wars episode,","
579,what is the name of cameron diazs character in bad teacher,","
580,who directed stepbrothers,","
581,find pg 13 movies with kevin costner,","
582,what is the name of the killer in the first saw,","
583,what movie has a great car chase,","
584,show me an eartha kitt film about a torch singer,","
585,any good crime noir films on,","
586,who directed take five,","
587,what is the most famous movie about horses,","
588,what year did space jam come out,space jam
589,which films have sherlock holmes as a character,","
590,find all movies by m night shyamalan,","
591,who was the old lady in happy gilmore,","
592,top 10 movies from 1990,","
593,get a fantasy film about a unicorn,","
594,are there any movies about bank robberies,","
595,was sean connery in the league of extraordinary gentlemen,","
596,where was the presidio filmed,the presidio
597,what film features halle berre as a mental patient,","
598,what was the plot of the time bandits,","
599,list actor matt damons top films,","
600,name a film with brian entwhistle in it,","
601,name the movie in which clint eastwood sings,","
602,who played tank in the matrix,","
603,find me a movie suitable for kids,","
604,name a well known director of japanese samurai movies,","
605,find all movies directed by steven speilburg,","
606,are you able to name an anime film that is in black and white,","
607,find an action movie starring harrison ford,","
608,what year was elizabethtown released,elizabethtown
609,show me a bruce willis movie about ghosts,","
610,find the air bud movie about baseball,","
611,is there a drama starring angelina jolie and antonio banderas,","
612,show me the movie by peter jackson,","
613,what were the critic reviews for lady in the water,","
614,show me a movie starring tim allen about christmas,","
615,list all the tom cruise movies from 2000s,","
616,find me a romance starring patrick swayze,","
617,are there any movies with assassins,","
618,find a movie that starred marlon brando and jack nicholson,","
619,please find the movie about tyrone power working in a carnival,","
620,was the character chucky in any films that were sci fi,","
621,what movies did jack black do in the 2000s,","
622,show me a movie set in japan with bill murray and scarlett johannson,","
623,what zombie movie features a zombie tiger,","
624,which actor played captain january,","
625,how many movies were released in the year 2009,","
626,run a trailer for journey back to oz,","
627,show me a movie about cars that is rated g,","
628,is there a color slapstick comedy movie,","
629,find the movie where maggie gyllanhall and james spader have an s amp m relationship,","
630,did zach braff compose the garden state soundtrack himself,garden state
631,in what movies does mark wahlberg say im a big star,","
632,find me the comedy movie elf starring will ferrell,elf
633,show me all the movies zac efron has been in,","
634,what movies are directed by garry marshall,","
635,what is the plot of requiem for a heavyweight,","
636,name a paul williams musical film,","
637,show me the movie that judy holliday won an oscar for,","
638,locate that movie with sandra bullock and keanu reaves,","
639,find me a movie with the song a whole new world,","
640,is there a drama with kate winslet thats rated r,","
641,find movies about the first gulf war,","
642,find me a movie about serial killers,","
643,is there a movie with kate hudson as a love struck columnist,","
644,whats a mainstream movie about super heros,","
645,show me a movie about characters named kermit and miss piggy,","
646,find a movie with corey haim and corey feldman,","
647,who directed the legend of bagger vance,","
648,what year did scott pilgrim vs the world come out,scott pilgrim vs the world
649,has robert downey jr directed any movies,","
650,find a movie with jude law and julia roberts,","
651,find a comedy starring john ritter,","
652,looking for a list of hammer studios vampire films,","
653,what movie featured the quote say hello to my little friend,","
654,who played sabrina in the 21st century remake of the audrey hepburn movie,","
655,show all horror movies that star the character freddy kruger,","
656,show me the classic western with claudia cardinale and henry fonda,","
657,find me a movie that won best film in 2009,","
658,on what film did samuel l jackson first appears as nick fury,","
659,please show me the film where robert de niro threatens nick nolte and his family,","
660,which actors have played james bond,","
661,find a well reviewed family film from the 1980s,","
662,what year was drive released,","
663,what are steve martins upcoming film projects,","
664,is there a science fiction film that starts on a tower,","
665,find me the r rated comedy horrible bosses with jason bateman,horrible bosses
666,name a patrick mcgoohan in a canadian film title,","
667,find meryl streep dramas set in africa,","
668,show me all release dates for the lord of the rings movies,lord of the rings
669,did tina fey appear in a flick with jack black,","
670,find an action movie from the 1990s with nicolas cage,","
671,which movie about a time travelling car was directed by robert zemeckis,","
672,are there any pg disney movies,","
673,what movie does someone say life was like a box of chocolates you never know what youre gonna getcategories used quote,","
674,list movies directed by peter jackson in the 2000s,","
675,whats a mexican romance film,","
676,is there a color farce tradgedy movie,","
677,are there any movies about michael jackson,","
678,what is a comedy from the 1990s with a car chase,","
679,what are the top 10 science fiction movies of all time,","
680,find me biopics starring country music stars,","
681,find me mocumentries with christopher guest,","
682,did sigourney weaver play a character named gwen in a comedy,","
683,is denzel washington in any comedies from the 1980s,","
684,find a viewer review for the enemy below,","
685,show me a drama starring james woods,","
686,find a drama about gangs in la,","
687,did steven soderbergh direct any movies released in 2010,","
688,looking for the movie with elizabeth tayor rock hudson and james dean,","
689,find me the jodie foster movie with kristen stewart,","
690,did edward norton star in a drama called american history x,","
691,find the movie starring ruth gordon about a housekeeper who is killed,","
692,who provided the voice talent for the tiger in kung fu panda,","
693,show me a famous 1940s movie made in france during the nazi occupation,","
694,looking for the movie where orson welles was a nazi hiding in new england,","
695,who stars in the movie titled happythankyoumoreplease,","
696,show me all the police academy movies,police academy
697,show me films with wyatt earp from the 1980s,","
698,what are the movies with the best twist endings,","
699,find the movie with robin williams as a dj in vietnam,","
700,looking for a list of max ophuls films,","
701,historical movies of true events with romance,","
702,find me movies about the end of the world,","
703,was there a movie with tony curtis and eva gabor,","
704,find movies set in los angeles in the future,","
705,who is the actor that stars in the new tv show awake,","
706,who starred in the girl with the dragon tattoo,","
707,show me a movie with christina aguleria and cher,","
708,i need a comedy from the 80s that is rated pg,","
709,find me the first rocky movie,rocky
710,show me the disney movie featuring hayley mills on a greek island,","
711,looking for a comedy with darryl hannah and steve martin,","
712,whats an isaak pearlman movie,","
713,i want to see the movie about a character named ferris bueller,","
714,show hit movies from the 2000s starring jack black,","
715,what songs were on the soundtrack for center stage,","
716,who played the role of leonidas in 300,","
717,what movies are about canadian sports,","
718,find a movie with the song for hes a jolly good fellow,","
719,what year was the last james bond film released,james bond
720,show me an r rated comedy called american pie,","
721,whats a spy film with gold in the title,gold
722,find a mathew modine movie,","
723,show me an animated movie about pandas,","
724,find any musicals with a g rating on today,","
725,what r rated movies from 2011 do not have full frontal nudity in them,","
726,what was the title of the bio pic about langston hughs,","
727,what movies feature the character wooster,","
728,did kevin kline start in a musical in the 1980s,","
729,are there any movies based on british versions,","
730,are there any g rated musicals from the 1980s,","
731,show me movies about king kong,","
732,are there any musicals from the 1990s,","
733,what is the vuewers rating for heidi,","
734,show me a movie starring meryl streep and robert deniro,","
735,find a scary movie directed by stephen spillburg,","
736,show me a movie about aliens attacking earth,","
737,what horror movies featured freddy and were rated r,","
738,who created lord of the rings,","
739,are there any g rated movies with paris in the title,","
740,who directed the horse in the grey flannel suit,","
741,find the sherlock holmes movie about a large killer dog,","
742,show me movies whoopi goldberg played in,","
743,find movies about football,","
744,what is mpaa rating for the rhino brothers,","
745,who said you can buy anything but you cant buy backbone,","
746,what movie uses harpsicord music,","
